,Review Header,Review Text,User,Date Published,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
3002,"""relentless BA cost cutting""","✅ Trip Verified |  LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While BA have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless BA cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual BA muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless BA cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for BA Gold or Oneworld Emerald members, clear proof that BA really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for BA business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping.",M Edwards,16th April 2023,A320,Business,Business Class,Heathrow to Malaga,April 2023,3.0,3.0,4.0,,3,1.0,2,no
3003,"""I wouldn't recommend British Airways""","✅ Trip Verified |  I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around",Luis Rojas,15th April 2023,,Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4.0,4.0,,1.0,3,3.0,1,no
3004,"""Absolutely horrible experience""","✅ Trip Verified |  Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information.",C Maire,15th April 2023,,Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023,3.0,3.0,2.0,,1,,1,no
3005,"""This is the worst airline""","Not Verified |  This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous",Megan Campbell,14th April 2023,,Business,Economy Class,Dublin to London,April 2023,1.0,1.0,1.0,1.0,1,1.0,1,no
3006,"""never fly British Airways again""","✅ Trip Verified |  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class.",L Horten,13th April 2023,,Couple Leisure,Business Class,London to Venice,March 2023,1.0,2.0,2.0,1.0,2,,2,no
3007,"""seats were cramped and uncomfortable""",✅ Trip Verified |  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.,L Keane,12th April 2023,A350,Couple Leisure,Economy Class,Las Vegas to London,April 2023,1.0,1.0,1.0,4.0,4,1.0,1,no
3008,"""I enjoyed my flight""","✅ Trip Verified |  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week.",Brett Hardy,11th April 2023,A320,Solo Leisure,Business Class,Faro to Heathrow,April 2023,5.0,5.0,5.0,,3,,5,yes
3009,"""found the food menu rather odd""","✅ Trip Verified | Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in.",P Jones,10th April 2023,Boeing 777,Couple Leisure,Business Class,London to Atlanta,April 2023,4.0,3.0,2.0,3.0,2,3.0,3,no
3010,"""trained to give you the runaround""",✅ Trip Verified |  Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.,T Cayle,17th April 2023,,Family Leisure,Economy Class,London to Denver,March 2023,2.0,5.0,2.0,3.0,4,1.0,1,no
3011,"""they only had one choice of meal""","✅ Trip Verified |  Due to code sharing with Cathay Pacific I was downgraded to BA on my return leg. I can’t describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didn’t get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way “You won’t get anything else for 12 hours you know!” the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldn’t even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I don’t understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew.",Andrew Pybus,17th April 2023,,Solo Leisure,Economy Class,Hong Kong to London,April 2023,2.0,1.0,1.0,1.0,2,1.0,2,no
3012,"""relentless BA cost cutting""","✅ Trip Verified |  LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While BA have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless BA cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual BA muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless BA cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for BA Gold or Oneworld Emerald members, clear proof that BA really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for BA business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping.",M Edwards,16th April 2023,A320,Business,Business Class,Heathrow to Malaga,April 2023,3.0,3.0,4.0,,3,1.0,2,no
3013,"""I wouldn't recommend British Airways""","✅ Trip Verified |  I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around",Luis Rojas,15th April 2023,,Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4.0,4.0,,1.0,3,3.0,1,no
3014,"""Absolutely horrible experience""","✅ Trip Verified |  Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information.",C Maire,15th April 2023,,Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023,3.0,3.0,2.0,,1,,1,no
3015,"""This is the worst airline""","Not Verified |  This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous",Megan Campbell,14th April 2023,,Business,Economy Class,Dublin to London,April 2023,1.0,1.0,1.0,1.0,1,1.0,1,no
3016,"""never fly British Airways again""","✅ Trip Verified |  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class.",L Horten,13th April 2023,,Couple Leisure,Business Class,London to Venice,March 2023,1.0,2.0,2.0,1.0,2,,2,no
3017,"""seats were cramped and uncomfortable""",✅ Trip Verified |  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.,L Keane,12th April 2023,A350,Couple Leisure,Economy Class,Las Vegas to London,April 2023,1.0,1.0,1.0,4.0,4,1.0,1,no
3018,"""I enjoyed my flight""","✅ Trip Verified |  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week.",Brett Hardy,11th April 2023,A320,Solo Leisure,Business Class,Faro to Heathrow,April 2023,5.0,5.0,5.0,,3,,5,yes
3019,"""found the food menu rather odd""","✅ Trip Verified | Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in.",P Jones,10th April 2023,Boeing 777,Couple Leisure,Business Class,London to Atlanta,April 2023,4.0,3.0,2.0,3.0,2,3.0,3,no
3020,"""trained to give you the runaround""",✅ Trip Verified |  Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.,T Cayle,17th April 2023,,Family Leisure,Economy Class,London to Denver,March 2023,2.0,5.0,2.0,3.0,4,1.0,1,no
3021,"""they only had one choice of meal""","✅ Trip Verified |  Due to code sharing with Cathay Pacific I was downgraded to BA on my return leg. I can’t describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didn’t get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way “You won’t get anything else for 12 hours you know!” the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldn’t even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I don’t understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew.",Andrew Pybus,17th April 2023,,Solo Leisure,Economy Class,Hong Kong to London,April 2023,2.0,1.0,1.0,1.0,2,1.0,2,no
3022,"""relentless BA cost cutting""","✅ Trip Verified |  LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While BA have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless BA cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual BA muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless BA cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for BA Gold or Oneworld Emerald members, clear proof that BA really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for BA business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping.",M Edwards,16th April 2023,A320,Business,Business Class,Heathrow to Malaga,April 2023,3.0,3.0,4.0,,3,1.0,2,no
3023,"""I wouldn't recommend British Airways""","✅ Trip Verified |  I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around",Luis Rojas,15th April 2023,,Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4.0,4.0,,1.0,3,3.0,1,no
3024,"""Absolutely horrible experience""","✅ Trip Verified |  Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information.",C Maire,15th April 2023,,Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023,3.0,3.0,2.0,,1,,1,no
3025,"""This is the worst airline""","Not Verified |  This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous",Megan Campbell,14th April 2023,,Business,Economy Class,Dublin to London,April 2023,1.0,1.0,1.0,1.0,1,1.0,1,no
3026,"""never fly British Airways again""","✅ Trip Verified |  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class.",L Horten,13th April 2023,,Couple Leisure,Business Class,London to Venice,March 2023,1.0,2.0,2.0,1.0,2,,2,no
3027,"""seats were cramped and uncomfortable""",✅ Trip Verified |  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.,L Keane,12th April 2023,A350,Couple Leisure,Economy Class,Las Vegas to London,April 2023,1.0,1.0,1.0,4.0,4,1.0,1,no
3028,"""I enjoyed my flight""","✅ Trip Verified |  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week.",Brett Hardy,11th April 2023,A320,Solo Leisure,Business Class,Faro to Heathrow,April 2023,5.0,5.0,5.0,,3,,5,yes
3029,"""found the food menu rather odd""","✅ Trip Verified | Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in.",P Jones,10th April 2023,Boeing 777,Couple Leisure,Business Class,London to Atlanta,April 2023,4.0,3.0,2.0,3.0,2,3.0,3,no
3030,"""trained to give you the runaround""",✅ Trip Verified |  Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.,T Cayle,17th April 2023,,Family Leisure,Economy Class,London to Denver,March 2023,2.0,5.0,2.0,3.0,4,1.0,1,no
3031,"""they only had one choice of meal""","✅ Trip Verified |  Due to code sharing with Cathay Pacific I was downgraded to BA on my return leg. I can’t describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didn’t get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way “You won’t get anything else for 12 hours you know!” the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldn’t even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I don’t understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew.",Andrew Pybus,17th April 2023,,Solo Leisure,Economy Class,Hong Kong to London,April 2023,2.0,1.0,1.0,1.0,2,1.0,2,no
3032,"""relentless BA cost cutting""","✅ Trip Verified |  LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While BA have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless BA cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual BA muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless BA cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for BA Gold or Oneworld Emerald members, clear proof that BA really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for BA business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping.",M Edwards,16th April 2023,A320,Business,Business Class,Heathrow to Malaga,April 2023,3.0,3.0,4.0,,3,1.0,2,no
3033,"""I wouldn't recommend British Airways""","✅ Trip Verified |  I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around",Luis Rojas,15th April 2023,,Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4.0,4.0,,1.0,3,3.0,1,no
3034,"""Absolutely horrible experience""","✅ Trip Verified |  Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information.",C Maire,15th April 2023,,Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023,3.0,3.0,2.0,,1,,1,no
3035,"""This is the worst airline""","Not Verified |  This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous",Megan Campbell,14th April 2023,,Business,Economy Class,Dublin to London,April 2023,1.0,1.0,1.0,1.0,1,1.0,1,no
3036,"""never fly British Airways again""","✅ Trip Verified |  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class.",L Horten,13th April 2023,,Couple Leisure,Business Class,London to Venice,March 2023,1.0,2.0,2.0,1.0,2,,2,no
3037,"""seats were cramped and uncomfortable""",✅ Trip Verified |  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.,L Keane,12th April 2023,A350,Couple Leisure,Economy Class,Las Vegas to London,April 2023,1.0,1.0,1.0,4.0,4,1.0,1,no
3038,"""I enjoyed my flight""","✅ Trip Verified |  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week.",Brett Hardy,11th April 2023,A320,Solo Leisure,Business Class,Faro to Heathrow,April 2023,5.0,5.0,5.0,,3,,5,yes
3039,"""found the food menu rather odd""","✅ Trip Verified | Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in.",P Jones,10th April 2023,Boeing 777,Couple Leisure,Business Class,London to Atlanta,April 2023,4.0,3.0,2.0,3.0,2,3.0,3,no
